wl	n
0.245202	1.168773
0.246793	1.176486
0.248384	1.184909
0.249976	1.195191
0.251567	1.208012
0.253159	1.222298
0.254751	1.236561
0.256342	1.250863
0.257934	1.266081
0.259526	1.280422
0.261118	1.295747
0.262710	1.314122
0.264302	1.332088
0.265894	1.349186
0.267486	1.365779
0.269078	1.381617
0.270671	1.397479
0.272263	1.414073
0.273856	1.430565
0.275448	1.446650
0.277041	1.462390
0.278633	1.477705
0.280226	1.493032
0.281819	1.507621
0.283412	1.521520
0.285004	1.534962
0.286597	1.548117
0.288190	1.561090
0.289783	1.573846
0.291377	1.585484
0.292970	1.597032
0.294563	1.609048
0.296156	1.622041
0.297750	1.638017
0.299343	1.652347
0.300936	1.664638
0.302530	1.674244
0.304124	1.676124
0.305717	1.670761
0.307311	1.656782
0.308905	1.632069
0.310498	1.601690
0.312092	1.564974
0.313686	1.521603
0.315280	1.473780
0.316874	1.416480
0.318468	1.328991
0.320062	1.204332
0.321656	1.058416
0.323250	0.908725
0.324844	0.769420
0.326439	0.640105
0.328033	0.508378
0.329627	0.381485
0.331222	0.287389
0.332816	0.230957
0.334411	0.197050
0.336005	0.174356
0.337600	0.157490
0.339194	0.144728
0.340789	0.136119
0.342384	0.129949
0.343978	0.124166
0.345573	0.119236
0.347168	0.115660
0.348763	0.112847
0.350358	0.110334
0.351952	0.108068
0.353547	0.106046
0.355142	0.104260
0.356737	0.102673
0.358332	0.101240
0.359928	0.099932
0.361523	0.098726
0.363118	0.097604
0.364713	0.096552
0.366308	0.095557
0.367903	0.094617
0.369499	0.093738
0.371094	0.092924
0.372689	0.092181
0.374285	0.091512
0.375880	0.090922
0.377476	0.090413
0.379071	0.089990
0.380667	0.089654
0.382262	0.089405
0.383858	0.089242
0.385453	0.089159
0.387049	0.089149
0.388644	0.089206
0.390240	0.089324
0.391836	0.089498
0.393431	0.089722
0.395027	0.089992
0.396623	0.090303
0.398219	0.090652
0.399814	0.091033
0.401410	0.091443
0.403006	0.091879
0.404602	0.092337
0.406198	0.092814
0.407793	0.093306
0.409389	0.093810
0.410985	0.094324
0.412581	0.094848
0.414177	0.095378
0.415773	0.095916
0.417369	0.096460
0.418965	0.097008
0.420561	0.097560
0.422157	0.098116
0.423753	0.098674
0.425349	0.099233
0.426945	0.099793
0.428541	0.100354
0.430137	0.100913
0.431733	0.101470
0.433329	0.102027
0.434925	0.102581
0.436521	0.103134
0.438117	0.103684
0.439713	0.104232
0.441310	0.104778
0.442906	0.105321
0.444502	0.105862
0.446098	0.106400
0.447694	0.106935
0.449290	0.107467
0.450886	0.107995
0.452482	0.108521
0.454079	0.109043
0.455675	0.109561
0.457271	0.110076
0.458867	0.110588
0.460463	0.111095
0.462059	0.111599
