%m    m(mol/kg)  c(mol/L)  rho(g/cm^3)  n(589nm)
0.5 0.028 0.028 1.0001 1.3337 
1.0 0.056 0.056 1.0020 1.3344 
2.0 0.113 0.112 1.0058 1.3358 
3.0 0.172 0.168 1.0097 1.3373 
4.0 0.231 0.225 1.0136 1.3387 
5.0 0.292 0.282 1.0175 1.3402 
6.0 0.354 0.340 1.0214 1.3417 
7.0 0.418 0.398 1.0254 1.3432 
8.0 0.483 0.457 1.0294 1.3447 
9.0 0.549 0.516 1.0334 1.3462 
10.0 0.617 0.576 1.0375 1.3477 
12.0 0.757 0.697 1.0457 1.3508 
14.0 0.904 0.819 1.0540 1.3539 
16.0 1.057 0.944 1.0624 1.3571 
18.0 1.218 1.070 1.0710 1.3603 
20.0 1.388 1.199 1.0797 1.3635 
22.0 1.566 1.329 1.0884 1.3668 
24.0 1.753 1.462 1.0973 1.3702 
26.0 1.950 1.597 1.1063 1.3736 
28.0 2.159 1.734 1.1154 1.3770 
30.0 2.379 1.873 1.1246 1.3805
32.0 2.612 2.014 1.1340 1.3840 
34.0 2.859 2.158 1.1434 1.3876
36.0 3.122 2.304 1.1529 1.3912 
38.0 3.402 2.452 1.1626 1.3949 
40.0 3.700 2.603 1.1724 1.3986 
42.0 4.019 2.756 1.1823 1.4024 
44.0 4.361 2.912 1.1924 1.4062
46.0 4.728 3.071 1.2026 1.4101 
48.0 5.124 3.232 1.2130 1.4141 
50.0 5.551 3.396 1.2235 1.4181 
52.0 6.013 3.562 1.2342 1.4222 
54.0 6.516 3.732 1.2451 1.4263 
56.0 7.064 3.905 1.2562 1.4306
58.0 7.665 4.081 1.2676 1.4349
60.0 8.326 4.261 1.2793 1.4394 
