wl	n
0.1164	0.753
0.1198	0.743
0.1234	0.726
0.1272	0.708
0.1312	0.680
0.1355	0.657
0.1401	0.624
0.1450	0.601
0.1503	0.572
0.1560	0.546
0.1621	0.518
0.1687	0.492
0.1759	0.466
0.1837	0.440
0.1922	0.408
0.2016	0.377
0.2119	0.342
0.2234	0.310
0.2362	0.299
0.2505	0.302
0.2666	0.317
0.2850	0.334
0.3061	0.346
0.3306	0.345
0.3594	0.335
0.3936	0.305
0.4350	0.248
0.4862	0.217
0.5510	0.205
0.6358	0.221
0.7514	0.265
0.9184	0.338
1.181	0.448
1.653	0.561
2.755	0.662
8.266	0.366

wl	k
0.1164	0.081
0.1198	0.102
0.1234	0.108
0.1272	0.119
0.1312	0.130
0.1355	0.144
0.1401	0.164
0.1450	0.189
0.1503	0.213
0.1560	0.246
0.1621	0.282
0.1687	0.320
0.1759	0.364
0.1837	0.407
0.1922	0.460
0.2016	0.522
0.2119	0.594
0.2234	0.688
0.2362	0.795
0.2505	0.906
0.2666	1.01
0.2850	1.11
0.3061	1.21
0.3306	1.32
0.3594	1.45
0.3936	1.60
0.4350	1.82
0.4862	2.11
0.5510	2.48
0.6358	2.94
0.7514	3.54
0.9184	4.36
1.181	5.58
1.653	7.68
2.755	12.6
8.266	38.0
