wl	n
0.190000	1.284
0.191656	1.275
0.193312	1.266
0.194967	1.257
0.196623	1.249
0.198279	1.242
0.199935	1.234
0.201591	1.227
0.203247	1.221
0.204902	1.215
0.206558	1.209
0.208214	1.204
0.209870	1.199
0.211526	1.195
0.213182	1.190
0.214837	1.187
0.216493	1.183
0.218149	1.180
0.219805	1.177
0.221461	1.175
0.223117	1.173
0.224772	1.171
0.226428	1.169
0.228084	1.168
0.229740	1.167
0.231396	1.166
0.233052	1.166
0.234707	1.165
0.236363	1.165
0.238019	1.166
0.239675	1.166
0.241331	1.167
0.242986	1.167
0.244642	1.168
0.246298	1.170
0.247954	1.171
0.249610	1.172
0.251266	1.174
0.252921	1.176
0.254577	1.178
0.256233	1.180
0.257889	1.182
0.259545	1.184
0.261201	1.187
0.262856	1.190
0.264512	1.192
0.266168	1.195
0.267824	1.198
0.269480	1.201
0.271136	1.204
0.272791	1.207
0.274447	1.210
0.276103	1.214
0.277759	1.217
0.279415	1.221
0.281071	1.224
0.282726	1.228
0.284382	1.231
0.286038	1.235
0.287694	1.239
0.289350	1.243
0.291006	1.246
0.292661	1.250
0.294317	1.254
0.295973	1.258
0.297629	1.262
0.299285	1.266
0.300940	1.270
0.302596	1.275
0.304252	1.279
0.305908	1.283
0.307564	1.287
0.309220	1.291
0.310875	1.295
0.312531	1.300
0.314187	1.304
0.315843	1.308
0.317499	1.313
0.319155	1.317
0.320810	1.321
0.322466	1.326
0.324122	1.330
0.325778	1.334
0.327434	1.339
0.329090	1.343
0.330745	1.347
0.332401	1.352
0.334057	1.356
0.335713	1.361
0.337369	1.365
0.339025	1.369
0.340680	1.374
0.342336	1.378
0.343992	1.383
0.345648	1.387
0.347304	1.391
0.348959	1.396
0.350615	1.400
0.352271	1.404
0.353927	1.409
0.355583	1.413
0.357239	1.418
0.358894	1.422
0.360550	1.426
0.362206	1.431
0.363862	1.435
0.365518	1.439
0.367174	1.444
0.368829	1.448
0.370485	1.453
0.372141	1.457
0.373797	1.461
0.375453	1.466
0.377109	1.470
0.378764	1.474
0.380420	1.479
0.382076	1.483
0.383732	1.487
0.385388	1.491
0.387044	1.496
0.388699	1.500
0.390355	1.504
0.392011	1.509
0.393667	1.513
0.395323	1.517
0.396978	1.521
0.398634	1.526
0.400290	1.530
0.401946	1.534
0.403602	1.539
0.405258	1.543
0.406913	1.547
0.408569	1.551
0.410225	1.556
0.411881	1.560
0.413537	1.564
0.415193	1.568
0.416848	1.573
0.418504	1.577
0.420160	1.581
0.421816	1.585
0.423472	1.590
0.425128	1.594
0.426783	1.598
0.428439	1.602
0.430095	1.606
0.431751	1.611
0.433407	1.615
0.435063	1.619
0.436718	1.623
0.438374	1.628
0.440030	1.632
0.441686	1.636
0.443342	1.640
0.444998	1.645
0.446653	1.649
0.448309	1.653
0.449965	1.657
0.451621	1.662
0.453277	1.666
0.454932	1.670
0.456588	1.675
0.458244	1.679
0.459900	1.683
0.461556	1.687
0.463212	1.692
0.464867	1.696
0.466523	1.700
0.468179	1.705
0.469835	1.709
0.471491	1.713
0.473147	1.718
0.474802	1.722
0.476458	1.726
0.478114	1.731
0.479770	1.735
0.481426	1.739
0.483082	1.744
0.484737	1.748
0.486393	1.752
0.488049	1.757
0.489705	1.761
0.491361	1.766
0.493017	1.770
0.494672	1.775
0.496328	1.779
0.497984	1.783
0.499640	1.788
0.501296	1.792
0.502951	1.797
0.504607	1.801
0.506263	1.806
0.507919	1.810
0.509575	1.815
0.511231	1.819
0.512886	1.824
0.514542	1.828
0.516198	1.833
0.517854	1.837
0.519510	1.842
0.521166	1.846
0.522821	1.851
0.524477	1.856
0.526133	1.860
0.527789	1.865
0.529445	1.869
0.531101	1.874
0.532756	1.879
0.534412	1.883
0.536068	1.888
0.537724	1.893
0.539380	1.897
0.541036	1.902
0.542691	1.907
0.544347	1.911
0.546003	1.916
0.547659	1.921
0.549315	1.926
0.550970	1.930
0.552626	1.935
0.554282	1.940
0.555938	1.945
0.557594	1.949
0.559250	1.954
0.560905	1.959
0.562561	1.964
0.564217	1.969
0.565873	1.974
0.567529	1.978
0.569185	1.983
0.570840	1.988
0.572496	1.993
